job_id,reference_index,status,pmid,extracted_title,error_message,processed_at
41523c63-708a-4073-baf3-e862e12b33c3,0,failed,,Post-COVID Recovery is More Likely after an Infection with the SARS-CoV-2 Omicron Variant: A Population-Based Cohort Study,PubMed search failed for: Post-COVID Recovery is More Likely after an Infection with the SARS-CoV-2 Omicron Variant: A Population-Based Cohort Study,2025-08-10T21:42:14.251506
41523c63-708a-4073-baf3-e862e12b33c3,1,success,38416429.0,Cognition and Memory after Covid-19 in a Large Community Sample,,2025-08-10T21:42:23.853575
deb97c2a-10d2-4a45-9303-c9e3f3843a1f,0,failed,,"Guidance on “Long COVID” as a Disability Under the ADA, Section 504, and Section 1557","PubMed search failed for: Guidance on “Long COVID” as a Disability Under the ADA, Section 504, and Section 1557",2025-08-14T08:43:50.550534
477f5852-a52a-4369-888a-41074cbb9129,0,failed,,Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Strategies to Prevent Worsening of Symptoms,PubMed search failed for: Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Strategies to Prevent Worsening of Symptoms,2025-08-14T08:44:39.005205
477f5852-a52a-4369-888a-41074cbb9129,1,success,32920235.0,Covid-19 hyperinflammation and post-Covid-19 illness may be rooted in mast cell activation syndrome,,2025-08-14T08:44:45.509332
477f5852-a52a-4369-888a-41074cbb9129,2,success,37234076.0,"Female reproductive health impacts of Long COVID and associated illnesses including ME/CFS, POTS, and connective tissue disorders: a literature review",,2025-08-14T08:44:53.418909
477f5852-a52a-4369-888a-41074cbb9129,3,success,38496502.0,Sex differences in symptomatology and immune profiles of Long COVID,,2025-08-14T08:45:00.101581
e84b7487-0146-436d-a874-23e17f1f9f03,0,success,32188386.0,Inflammatory Markers in Cardiovascular Disease; Lessons Learned and Future Perspectives,,2025-08-14T08:46:19.761514
e84b7487-0146-436d-a874-23e17f1f9f03,1,success,37169323.0,Long COVID Syndrome: A Case-Control Study,,2025-08-14T08:46:25.603928
e84b7487-0146-436d-a874-23e17f1f9f03,2,failed,,Post COVID-19 Patient information pack: Helping you to recover and manage your symptoms following COVID-19,PubMed search failed for: Post COVID-19 Patient information pack: Helping you to recover and manage your symptoms following COVID-19,2025-08-14T08:46:29.121560
